"","caseid","age","earnings","scores_cognitive_skill","meduc","feduc","faminc79","numsibs","tuit4","school","yob"
"3235",809,28,14556.216796875,0.57781845331192,4,2,0.910000026226044,2,0.151834726333618,0,1960
"3236",809,29,12498.392578125,0.57781845331192,4,2,0.910000026226044,2,0.151834726333618,0,1960
"3237",810,26,41493.9765625,0.526320993900299,2,2,2.42000007629395,11,0.163442343473434,0,1957
"3238",810,27,49720.88671875,0.526320993900299,2,2,2.42000007629395,11,0.163442343473434,0,1957
"3239",810,28,57613.35546875,0.526320993900299,2,2,2.42000007629395,11,0.163442343473434,0,1957
"3240",810,29,67560.1953125,0.526320993900299,2,2,2.42000007629395,11,0.163442343473434,0,1957
"3241",811,26,27285.203125,0.94127345085144,4,2,1.20000004768372,2,0.159472018480301,1,1961
"3242",811,27,33479.28125,0.94127345085144,4,2,1.20000004768372,2,0.159472018480301,1,1961
"3243",811,28,41661.30859375,0.94127345085144,4,2,1.20000004768372,2,0.159472018480301,1,1961
"3244",811,29,35573.078125,0.94127345085144,4,2,1.20000004768372,2,0.159472018480301,1,1961
"3245",812,26,26201.19140625,-3.22647523880005,2,1,0.526799976825714,3,0.133760675787926,0,1962
"3246",812,27,24996.7734375,-3.22647523880005,2,1,0.526799976825714,3,0.133760675787926,0,1962
"3247",812,28,28985.45703125,-3.22647523880005,2,1,0.526799976825714,3,0.133760675787926,0,1962
"3248",812,29,27814.97265625,-3.22647523880005,2,1,0.526799976825714,3,0.133760675787926,0,1962
"3249",813,26,24204.81640625,0.205058559775352,3,2,1.53600001335144,5,0.163442343473434,0,1957
"3250",813,27,28175.1796875,0.205058559775352,3,2,1.53600001335144,5,0.163442343473434,0,1957
"3251",813,28,28006.513671875,0.205058559775352,3,2,1.53600001335144,5,0.163442343473434,0,1957
"3252",813,29,32994.515625,0.205058559775352,3,2,1.53600001335144,5,0.163442343473434,0,1957
"3253",814,26,40757.3984375,-0.225528061389923,3,4,2.20000004768372,3,0.133760675787926,0,1962
"3254",814,27,32495.810546875,-0.225528061389923,3,4,2.20000004768372,3,0.133760675787926,0,1962
"3255",814,28,34255.54296875,-0.225528061389923,3,4,2.20000004768372,3,0.133760675787926,0,1962
"3256",814,29,34389.41796875,-0.225528061389923,3,4,2.20000004768372,3,0.133760675787926,0,1962
"3257",815,26,20080.740234375,-1.48495042324066,4,2,0.600000023841858,0,0.122590944170952,0,1963
"3258",815,27,27667.95703125,-1.48495042324066,4,2,0.600000023841858,0,0.122590944170952,0,1963
"3259",815,28,26171.37109375,-1.48495042324066,4,2,0.600000023841858,0,0.122590944170952,0,1963
"3260",815,29,25774.765625,-1.48495042324066,4,2,0.600000023841858,0,0.122590944170952,0,1963
"3261",816,26,33348.6015625,-0.97490781545639,4,3,3.59999990463257,1,0.159472018480301,0,1961
"3262",816,27,33188.15625,-0.97490781545639,4,3,3.59999990463257,1,0.159472018480301,0,1961
"3263",816,28,29857.251953125,-0.97490781545639,4,3,3.59999990463257,1,0.159472018480301,0,1961
"3264",816,29,39525.62109375,-0.97490781545639,4,3,3.59999990463257,1,0.159472018480301,0,1961
"3265",817,26,20314.75390625,1.07394182682037,4,4,1.79212915897369,3,0.163442343473434,0,1957
"3266",817,27,22374.3984375,1.07394182682037,4,4,1.79212915897369,3,0.163442343473434,0,1957
"3267",817,28,23045.353515625,1.07394182682037,4,4,1.79212915897369,3,0.163442343473434,0,1957
"3268",817,29,26709.861328125,1.07394182682037,4,4,1.79212915897369,3,0.163442343473434,0,1957
"3269",818,26,22885.3203125,0.797137975692749,4,7,1.60000002384186,1,0.247345477342606,1,1959
"3270",818,27,26395.611328125,0.797137975692749,4,7,1.60000002384186,1,0.247345477342606,1,1959
"3271",818,28,26906.259765625,0.797137975692749,4,7,1.60000002384186,1,0.247345477342606,1,1959
"3272",818,29,25560.701171875,0.797137975692749,4,7,1.60000002384186,1,0.247345477342606,1,1959
"3273",819,26,31423.353515625,0.629897236824036,4,8,4,2,0.199850127100945,1,1960
"3274",819,27,34864.4453125,0.629897236824036,4,8,4,2,0.199850127100945,1,1960
"3275",819,28,33479.28125,0.629897236824036,4,8,4,2,0.199850127100945,1,1960
