"caseid","xsa","xsb","xsb2","xsbc","xsbc2","xsc","za","zb","zc","zd","ze","zf","zg","school"
39,4.0,22.0,126.0,6.0,14.0,11.661345461867171,1.0,9.43945191158284,10.27505110074728,10.0,-1.73212242126465,1.0,1.0,0.0
40,4.0,22.0,126.0,6.0,14.0,12.16525064107581,1.0,9.603507682477401,10.778956279955919,5.0,-1.04966366291046,4.0,4.0,0.0
41,4.0,22.0,126.0,6.0,14.0,11.982929094215963,1.0,9.501125842215933,10.596634733096073,4.0,-1.69552421569824,4.0,2.0,0.0
42,4.0,22.0,126.0,6.0,14.0,11.982929094215963,1.0,9.491108389814965,10.596634733096073,4.0,-2.13794183731079,4.0,4.0,0.0
43,4.0,38.0,366.0,54.0,734.0,11.957611310684861,1.0,9.603507682477401,10.57131694956497,2.0,0.857110023498535,4.0,8.0,1.0
44,4.0,22.0,126.0,6.0,14.0,12.301382825334498,1.0,9.56956045003729,10.915088464214607,2.0,-1.850834608078,4.0,4.0,0.0
45,4.0,38.0,366.0,54.0,734.0,11.589886523766994,1.0,9.407669494489362,10.203592162647103,3.0,1.3684413433075,4.0,7.0,1.0
46,4.0,38.0,366.0,54.0,734.0,11.52485402452711,1.0,9.41260532151871,10.13855966340722,2.0,-0.604732632637024,4.0,2.0,1.0
47,4.0,38.0,366.0,54.0,734.0,12.371587100171718,1.0,9.41260532151871,10.985292739051827,4.0,-0.352394998073578,4.0,4.0,1.0
48,4.0,22.0,126.0,6.0,14.0,11.759003984584373,1.0,9.505775818977485,10.372709623464482,4.0,-0.357413440942764,4.0,4.0,0.0
49,4.0,22.0,126.0,6.0,14.0,11.759003984584373,1.0,9.401090419433828,10.372709623464482,4.0,-0.510706543922424,4.0,4.0,0.0
50,4.0,38.0,366.0,54.0,734.0,11.84939770159144,1.0,9.382786949256733,10.46310334047155,3.0,0.0491060428321362,4.0,5.0,1.0
51,4.0,38.0,366.0,54.0,734.0,12.206072645530174,1.0,9.442304777731092,10.819778284410283,3.0,-0.901771366596222,4.0,6.0,1.0
52,4.0,38.0,366.0,54.0,734.0,11.512925464970229,1.0,9.42321055449777,10.126631103850338,3.0,0.742280185222626,4.0,4.0,1.0
53,4.0,38.0,366.0,54.0,734.0,11.838262412535114,1.0,9.505775818977485,10.451968051415223,8.0,1.14454281330109,6.0,6.0,1.0
54,4.0,38.0,366.0,54.0,734.0,11.838262412535114,1.0,9.407669494489362,10.451968051415223,8.0,0.0799441337585449,6.0,6.0,1.0
55,4.0,22.0,126.0,6.0,14.0,11.957611310684861,1.0,9.54024664172351,10.57131694956497,3.0,1.20603728294373,3.0,4.0,0.0
56,4.0,22.0,126.0,6.0,14.0,11.957611310684861,1.0,9.422071034219593,10.57131694956497,3.0,0.61899870634079,3.0,4.0,0.0
57,4.0,22.0,126.0,6.0,14.0,12.100712129872347,1.0,9.43393145401584,10.714417768752456,5.0,0.836014866828918,4.0,4.0,0.0
58,4.0,22.0,126.0,6.0,14.0,11.552146187293456,1.0,9.429777689484018,10.165851826173565,5.0,0.168597728013992,4.0,4.0,0.0
59,4.0,22.0,126.0,6.0,14.0,11.813351499960818,1.0,9.424289779281876,10.427057138840928,1.0,-0.142777800559998,4.0,7.0,0.0
60,4.0,38.0,366.0,54.0,734.0,12.584509107378482,1.0,9.316495934390328,11.198214746258591,2.0,1.66623187065125,7.0,8.0,1.0
61,4.0,22.0,126.0,6.0,14.0,11.472103460515864,1.0,9.440070195442205,10.085809099395973,6.0,1.15466713905334,4.0,4.0,0.0
62,4.0,22.0,126.0,6.0,14.0,11.661345461867171,1.0,9.4547756322713,10.27505110074728,2.0,-2.6741418838501,4.0,3.0,0.0
63,4.0,22.0,126.0,6.0,14.0,11.512925464970229,1.0,9.437459982736113,10.126631103850338,4.0,-0.129889383912086,2.0,2.0,0.0
64,4.0,22.0,126.0,6.0,14.0,11.002099841204238,1.0,9.465624306100125,9.615805480084347,5.0,-1.34982621669769,2.0,4.0,0.0
65,4.0,22.0,126.0,6.0,14.0,11.982929094215963,1.0,9.465624306100125,10.596634733096073,0.0,-0.0919532030820847,4.0,4.0,0.0
66,4.0,22.0,126.0,6.0,14.0,11.62625413324733,1.0,9.437459982736113,10.23995977212744,1.0,-2.5402398109436,4.0,3.0,0.0
67,4.0,38.0,366.0,54.0,734.0,12.206072645530174,1.0,9.431423403152493,10.819778284410283,1.0,0.700530290603638,6.0,7.0,1.0
68,4.0,22.0,126.0,6.0,14.0,11.289781913656018,1.0,9.431423403152493,9.903487552536127,3.0,-2.73962354660034,4.0,4.0,0.0
69,4.0,22.0,126.0,6.0,14.0,11.982929094215963,1.0,9.431423403152493,10.596634733096073,4.0,-1.6986786127090499,4.0,4.0,0.0
70,4.0,38.0,366.0,54.0,734.0,12.144197251957559,1.0,9.538357450576616,10.757902890837668,2.0,0.190258130431175,4.0,6.0,1.0
71,4.0,38.0,366.0,54.0,734.0,12.111761955578993,1.0,9.453662928659236,10.725467594459102,2.0,0.7420374751091,6.0,6.0,1.0
72,4.0,38.0,366.0,54.0,734.0,12.206072645530174,1.0,9.465624306100125,10.819778284410283,2.0,1.05087447166443,4.0,8.0,1.0
73,4.0,38.0,366.0,54.0,734.0,11.623439177303617,1.0,9.527333937541988,10.237144816183726,3.0,1.22868347167969,4.0,4.0,1.0
74,4.0,22.0,126.0,6.0,14.0,11.820410192767433,1.0,9.458895278177149,10.434115831647542,1.0,0.109483025968075,4.0,4.0,0.0
75,4.0,38.0,366.0,54.0,734.0,11.982929094215963,1.0,9.426444836985274,10.596634733096073,2.0,0.0258057322353125,4.0,4.0,1.0
76,4.0,38.0,366.0,54.0,734.0,12.388394202324129,1.0,9.532622832387506,11.002099841204238,2.0,0.985401332378387,7.0,7.0,1.0
77,4.0,22.0,126.0,6.0,14.0,12.421183994383432,1.0,9.426444836985274,11.03488963326354,4.0,0.142740085721016,4.0,3.0,0.0
78,4.0,22.0,126.0,6.0,14.0,12.421183994383432,1.0,9.46881842350132,11.03488963326354,4.0,-1.7655303478241,4.0,3.0,0.0
79,4.0,22.0,126.0,6.0,14.0,11.820410192767433,1.0,9.458895278177149,10.434115831647542,2.0,-0.636311292648315,4.0,6.0,0.0
80,4.0,22.0,126.0,6.0,14.0,11.982929094215963,1.0,9.419232446778333,10.596634733096073,3.0,0.54024463891983,7.0,4.0,0.0
81,4.0,22.0,126.0,6.0,14.0,12.542544882151386,1.0,9.488462231229402,11.156250521031495,1.0,-1.3570910692215001,4.0,4.0,0.0
